name,category,subcategory,recommendedSessionsWeekly,dailySessions,durationMin,durationMax,prerequisite,followUp
Quiz: Mindfulness,Mindfulness,Motivation|Concentration|Relaxation|Sleep,1,5,1,5,,Quiz: Mindfulness II
Meditation for self-esteem,Mindfulness,Motivation,3,6,5,10,,
Resilience in crises & stress,Mindfulness,Motivation,2,8,1,5,,
Happy Training,Mindfulness,Motivation,2,8,1,5,,
Exploring new horizons,Mindfulness,Motivation,2,9,20,30,,
Boost Energy With Meditation,Mindfulness,Motivation,7,10,10,20,,
Better focus: time management and self-management,Mindfulness,Motivation,1,10,,,,
A strong immune system - maximise your defences,Mindfulness,Motivation,3,13,5,10,,
Meditation For New Ideas and Inspirations,Mindfulness,Motivation,7,20,5,10,,
Motivational Training,Mindfulness,Motivation,7,20,5,10,,
MeTime - I matter,Mindfulness,Motivation|Relaxation,2,4,5,10,,
Quiz: Mindfulness II,Mindfulness,Motivation|Concentration|Relaxation,1,5,1,5,Quiz: Mindfulness,
More Focus through Meditation,Mindfulness,Concentration,7,7,10,20,,
Gain Clarity With Meditation,Mindfulness,Concentration,7,10,10,20,,
Mental Workout,Mindfulness,Concentration,7,15,1,5,,
Brain Training,Mindfulness,Concentration,7,15,1,5,,
Sharpen Your Focus With Mindfulness Training,Mindfulness,Concentration,7,20,5,10,,
Mastering stress management,Mindfulness,Relaxation,7,6,,,,
Imaginary Journeys,Mindfulness,Relaxation,2,6,5,10,,
Introduction To Meditation,Mindfulness,Relaxation,7,10,5,10,,
Meditation To Calm The Mind,Mindfulness,Relaxation,7,10,10,20,,
Strengthen your mental well-being,Mindfulness,Relaxation,2,10,1,5,,
Find Inner Peace With Meditation,Mindfulness,Relaxation,7,20,5,10,,
Relax WIth Autogenic Training,Mindfulness,Relaxation,7,20,5,10,,
Relax With Mindfulness Training,Mindfulness,Relaxation,7,20,5,10,,
Switching off after work,Mindfulness,Relaxation,2,6,5,10,,
Relief for Restless Legs and Snoring,Mindfulness,Sleep,7,5,1,5,,
Sleep - Facts and Tips,Mindfulness,Sleep,2,7,1,5,,
Meditation For A Good Night's Sleep,Mindfulness,Sleep,7,10,10,20,,
Relaxation Methods For A Restful Night's Sleep,Mindfulness,Sleep,7,10,5,10,,
Sleep Better With Meditation,Mindfulness,Sleep,7,20,5,10,,
Calming classical sounds,Mindfulness,Soundscapes,3,5,30,40,,
Time off outdoors,Mindfulness,Soundscapes,3,6,30,40,,
Yoga for Beginners,Movement,Yoga,3,10,,,,
Yoga for Back Pain,Movement,Yoga,3,10,,,,
Restorative Yoga,Movement,Yoga,3,10,,,,
Active Yoga,Movement,Yoga,3,10,,,,
Quiz: Movement,Movement,Strength|Flexibility,1,6,1,5,,Quiz: Movement II
Healthy back,Movement,Strength|Flexibility,2,7,5,10,,
Exercise: The miracle cure,Movement,Strength|Endurance|Weight Loss|Flexibility,5,14,5,10,,
Full Body Workout,Movement,Strength,2,24,10,20,,
Dumbbell Training: Full Body Workout,Movement,Strength,2,24,10,20,,
Kettlebell Training: Strong Legs,Movement,Strength,2,24,10,20,,
Upper Body Workout,Movement,Strength,2,24,10,20,,
Dumbbell Training: Strong Arms,Movement,Strength,2,24,10,20,,
Strong Back,Movement,Strength,3,24,5,10,,
Leg Workout,Movement,Strength,2,24,10,20,,
Just how unhealthy is sitting?,Movement,Strength,1,5,1,5,,
Quiz: Movement II,Movement,Strength|Endurance|Weight Loss|Flexibility,1,5,1,5,Quiz: Movement,
Full Body Activation,Movement,Strength|Endurance,2,6,20,30,,
High-intensity interval training,Movement,Endurance,2,7,10,20,,
How to get started with running,Movement,Endurance,2,7,1,5,,
Boost Endurance,Movement,Endurance,2,24,10,20,,
Burn Calories,Movement,Weight Loss,2,24,10,20,,
Dumbbell Training: Burn Calories,Movement,Weight Loss,2,24,10,20,,
Exercise In Your Break,Movement,Flexibility,5,24,5,10,,
Stretch And Relax,Movement,Flexibility,4,24,5,10,,
Ease Your Stiff Neck,Movement,Flexibility,5,24,1,5,,
Relieve Your Mouse Elbow,Movement,Flexibility,5,24,1,5,,
Mobilise Your Shoulders,Movement,Flexibility,4,24,5,10,,
Stretch Your Legs,Movement,Flexibility,4,24,1,5,,
Hip Flexibility,Movement,Flexibility,4,24,5,10,,
Flexible Back,Movement,Flexibility,4,24,5,10,,
Ease Back Pain at the Office,Movement,Flexibility,4,24,1,5,,
Fascia Training,Movement,Flexibility,4,24,5,10,,
Supple through your day,Movement,Flexibility,7,7,10,20,,
Leg Stretches At The Office,Movement,Flexibility,4,24,1,5,,
"Sustainable, varied and healthy",Nutrition,Healthy Eating,2,6,1,5,,
Quiz: Nutrition,Nutrition,Healthy Eating|Weight Loss,1,6,1,5,,Quiz: Nutrition II
From the top of your head into the pot - Cooking without a recipe,Nutrition,Healthy Eating,2,6,1,5,,
The right breakfast,Nutrition,Healthy Eating,7,7,5,10,,
The perfect lunch,Nutrition,Healthy Eating,7,7,5,10,,
The balanced dinner,Nutrition,Healthy Eating,7,7,5,10,,
The right snacks,Nutrition,Healthy Eating,7,7,5,10,,
Food & Soul,Nutrition,Healthy Eating,3,7,1,5,,
Sugar: less is more,Nutrition,Healthy Eating,3,10,1,5,,
Healthy eating - A step-by-step guide,Nutrition,Healthy Eating,7,43,5,10,,
Nutrition for endurance training,Nutrition,Healthy Eating,2,5,1,5,,
Nutrition fr building muscles,Nutrition,Healthy Eating,2,5,1,5,,
Quiz: Nutrition II,Nutrition,Healthy Eating|Weight Loss,1,5,1,5,Quiz: Nutrition,
Less is more - enjoying meat more consciously,Nutrition,Healthy Eating,3,6,5,10,,
Intermittent fasting,Nutrition,Healthy Eating,3,8,5,10,,
Happy and Healthy,Nutrition,Healthy Eating,3,8,5,10,,
Eat better - Live lighter,Nutrition,Weight Loss,7,8,5,10,,